20251225 Tests failed: 24, passed: 278
20251226 Tests failed: 33, passed: 272
20251227 Tests failed: 41, passed: 261
20251228 Tests failed: 27, passed: 275
20251229 Tests failed: 29, passed: 267
20251230 Tests failed: 24, passed: 279
20251231 Tests failed: 34, passed: 269
20260101 Tests failed: 50, passed: 253
20260102 Tests failed: 59, passed: 244
20260103 Tests failed: 23, passed: 281
20260104 Tests failed: 47, passed: 256
20260105 Tests failed: 59, passed: 239
20260105 Tests failed: 23, passed: 280
